car,time [us],time [s],NIS
2, 1800000, 1.8, 3.50513
2, 1833333, 1.83333, 0.758603
2, 1866666, 1.86667, 4.95306
2, 1900000, 1.9, 5.20586
2, 1933333, 1.93333, 3.4792
2, 1966666, 1.96667, 1.8189
2, 2000000, 2, 4.1341
2, 2033333, 2.03333, 1.04955
2, 2066666, 2.06667, 1.02897
2, 2100000, 2.1, 1.77972
2, 2133333, 2.13333, 1.52582
2, 2166666, 2.16667, 3.96315
2, 2200000, 2.2, 0.711147
2, 2233333, 2.23333, 0.102767
2, 2266666, 2.26667, 1.03149
2, 2300000, 2.3, 3.70657
2, 2333333, 2.33333, 2.06477
2, 2366666, 2.36667, 0.590512
2, 2400000, 2.4, 6.18047
2, 2433333, 2.43333, 1.54845
2, 2466666, 2.46667, 10.6461
2, 2500000, 2.5, 5.49553
2, 2533333, 2.53333, 5.65998
2, 2566666, 2.56667, 2.18669
2, 2600000, 2.6, 1.13133
2, 2633333, 2.63333, 3.3277
2, 2666666, 2.66667, 12.4315
2, 2700000, 2.7, 1.08515
2, 2733333, 2.73333, 1.56836
2, 2766666, 2.76667, 8.05813
2, 2800000, 2.8, 6.38271
2, 2833333, 2.83333, 1.81823
2, 2866666, 2.86667, 4.19707
2, 2900000, 2.9, 3.58391
2, 2933333, 2.93333, 5.89659
2, 2966666, 2.96667, 3.05252
2, 3000000, 3, 2.1698
2, 3033333, 3.03333, 10.5851
2, 3066666, 3.06667, 1.01588
2, 3100000, 3.1, 4.76159
2, 3133333, 3.13333, 1.64205
2, 3166666, 3.16667, 2.16267
2, 3200000, 3.2, 3.27677
2, 3233333, 3.23333, 12.4879
2, 3266666, 3.26667, 38.8659
2, 3300000, 3.3, 17.991
2, 3333333, 3.33333, 5.46666
2, 3366666, 3.36667, 13.5202
2, 3400000, 3.4, 2.49216
2, 3433333, 3.43333, 9.14454
2, 3466666, 3.46667, 2.11697
2, 3500000, 3.5, 4.6172
2, 3533333, 3.53333, 3.06387
2, 3566666, 3.56667, 5.7778
2, 3600000, 3.6, 14.8058
2, 3633333, 3.63333, 2.60021
2, 3666666, 3.66667, 2.80373
2, 3700000, 3.7, 2.48716
2, 3733333, 3.73333, 1.39173
2, 3766666, 3.76667, 2.4598
2, 3800000, 3.8, 0.188614
2, 3833333, 3.83333, 4.20485
2, 3866666, 3.86667, 0.503367
